x	y	yaw
1.78297	0.164613	0.153655	
1.78303	0.164582	0.153678	
1.78307	0.16471	0.153597	
1.78294	0.164646	0.153639	
1.78299	0.164688	0.153596	
1.78301	0.164654	0.153623	
1.78305	0.164657	0.153614	
1.78313	0.164308	0.153804	
1.78297	0.164572	0.153652	
1.78287	0.164647	0.153622	
1.7829	0.165041	0.153475	
1.7831	0.164951	0.15354	
1.78294	0.16496	0.153535	
1.7828	0.164823	0.153575	
1.78296	0.1647	0.153619	
1.78311	0.164554	0.153683	
1.78313	0.164996	0.153519	
1.7831	0.165005	0.15353	
1.78277	0.165192	0.153424	
1.78281	0.164778	0.153608	
1.78275	0.164859	0.15357	
1.78278	0.165028	0.153501	
1.78301	0.164715	0.153643	
1.78311	0.16462	0.153701	
1.78312	0.16468	0.153654	
1.78312	0.164315	0.153814	
1.78319	0.164454	0.153724	
1.78318	0.164515	0.153693	
1.78317	0.164473	0.153708	
1.78306	0.16454	0.153656	
1.78305	0.164671	0.153655	
1.78299	0.164572	0.153712	
1.78302	0.164606	0.153705	
1.78317	0.164555	0.153742	
1.7832	0.164528	0.15373	
1.78322	0.164638	0.153674	
1.78312	0.164586	0.153689	
1.78304	0.164648	0.153646	
1.78304	0.164634	0.153664	
1.7832	0.164292	0.15378	
1.78315	0.164378	0.153769	
1.7832	0.164424	0.153745	
1.78323	0.164462	0.153763	
1.78307	0.16454	0.153714	
1.78298	0.164656	0.153633	
1.78307	0.164619	0.153655	
1.78321	0.164537	0.153734	
1.78313	0.164646	0.153654	
1.7831	0.164554	0.153689	
1.78286	0.164838	0.153553	
1.78281	0.164701	0.153592	
1.78285	0.16468	0.153619	
1.78305	0.164475	0.153759	
1.78299	0.164548	0.153702	
1.78307	0.164439	0.153743	
1.78301	0.164615	0.15368	
1.78316	0.164611	0.153694	
1.78311	0.164703	0.153627	
1.78305	0.164711	0.153608	
1.7831	0.164508	0.153721	
1.78308	0.164568	0.153703	
1.78321	0.164474	0.153762	
1.78339	0.164586	0.153745	
1.78339	0.164623	0.153709	
1.78336	0.164666	0.153649	
1.78331	0.164812	0.153602	
1.78318	0.164813	0.153603	
1.78318	0.164588	0.153664	
1.78319	0.164532	0.153746	
1.7831	0.164546	0.153707	
1.78298	0.164604	0.153636	
1.78301	0.164679	0.153629	
1.78291	0.164668	0.153609	
1.78273	0.164741	0.153554	
1.78303	0.164726	0.153624	
